央视频道,#genre#
CCTV11,http://1.197.249.180:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
云南卫视,http://1.197.249.180:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://1.197.249.180:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://1.197.249.180:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://1.197.249.180:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://1.197.249.180:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
武术世界,http://1.197.249.180:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
百姓调解,http://1.197.249.180:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://1.197.249.180:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
